Timestamp,Temperature,Humidity,Wind Speed,id
2024-12-08 15:46:00,-1.49,58.7,5.31,4.0
2024-12-08 15:46:01,-1.49,59.7,5.31,4.0
2024-12-08 15:46:02,-1.49,58.67,4.31,4.0
2024-12-08 15:46:03,-2.49,58.67,4.51,4.0
2024-12-08 15:46:04,-2.49,57.64,4.51,4.0
2024-12-08 15:46:05,-2.29,56.61,3.48,4.0
2024-12-08 15:46:06,-2.09,55.58,3.68,4.0
2024-12-08 15:46:07,-3.12,54.58,3.68,4.0
2024-12-08 15:46:08,-3.12,54.58,3.68,4.0
2024-12-08 15:46:09,-3.12,54.58,3.88,4.0
2024-12-08 15:46:10,-4.12,54.58,2.88,4.0
2024-12-08 15:46:11,-4.12,54.58,1.88,4.0
2024-12-08 15:46:12,-4.12,53.55,2.08,4.0
2024-12-08 15:46:13,-3.92,52.52,2.08,4.0
2024-12-08 15:46:14,-3.92,52.52,2.08,4.0
2024-12-08 15:46:15,-3.72,51.52,2.08,4.0
2024-12-08 15:46:16,-3.72,51.72,2.08,4.0
2024-12-08 15:46:17,-3.72,52.72,1.05,4.0
2024-12-08 15:46:18,-3.72,51.69,1.05,4.0
2024-12-08 15:46:19,-3.72,51.89,2.05,4.0
