Timestamp,Temperature,Humidity,Wind Speed,id
2024-12-08 15:46:00,27.62,56.49,7.74,2.0
2024-12-08 15:46:01,27.82,56.49,7.94,2.0
2024-12-08 15:46:02,27.82,57.49,7.94,2.0
2024-12-08 15:46:03,26.79,57.49,6.94,2.0
2024-12-08 15:46:04,26.79,56.46,6.94,2.0
2024-12-08 15:46:05,26.79,55.43,7.94,2.0
2024-12-08 15:46:06,26.79,55.63,8.14,2.0
2024-12-08 15:46:07,26.79,54.63,8.34,2.0
2024-12-08 15:46:08,26.79,54.83,7.34,2.0
2024-12-08 15:46:09,26.79,55.03,8.34,2.0
2024-12-08 15:46:10,26.99,54.03,8.34,2.0
2024-12-08 15:46:11,26.99,54.03,7.34,2.0
2024-12-08 15:46:12,27.99,53.0,7.34,2.0
2024-12-08 15:46:13,28.99,51.97,7.34,2.0
2024-12-08 15:46:14,27.99,51.97,6.34,2.0
2024-12-08 15:46:15,27.99,52.97,5.34,2.0
2024-12-08 15:46:16,27.99,52.97,5.34,2.0
2024-12-08 15:46:17,27.99,53.97,5.34,2.0
2024-12-08 15:46:18,27.99,52.94,4.31,2.0
2024-12-08 15:46:19,27.99,51.91,4.31,2.0
