Timestamp,Temperature,Humidity,Wind Speed,id
2024-12-08 15:46:00,17.72,68.43,5.26,1.0
2024-12-08 15:46:01,18.72,68.43,4.26,1.0
2024-12-08 15:46:02,18.72,68.63,4.26,1.0
2024-12-08 15:46:03,18.72,69.63,5.26,1.0
2024-12-08 15:46:04,18.72,69.83,5.46,1.0
2024-12-08 15:46:05,18.72,69.83,6.46,1.0
2024-12-08 15:46:06,17.69,70.83,6.46,1.0
2024-12-08 15:46:07,16.69,70.83,6.46,1.0
2024-12-08 15:46:08,16.89,69.83,6.46,1.0
2024-12-08 15:46:09,15.89,68.83,6.46,1.0
2024-12-08 15:46:10,14.86,69.83,6.46,1.0
2024-12-08 15:46:11,14.86,70.03,6.66,1.0
2024-12-08 15:46:12,13.83,70.03,6.66,1.0
2024-12-08 15:46:13,13.83,69.03,6.66,1.0
2024-12-08 15:46:14,12.8,69.03,7.66,1.0
2024-12-08 15:46:15,12.8,68.03,7.86,1.0
2024-12-08 15:46:16,12.8,68.03,7.86,1.0
2024-12-08 15:46:17,11.77,68.03,7.86,1.0
2024-12-08 15:46:18,10.74,68.23,8.86,1.0
2024-12-08 15:46:19,11.74,68.23,7.83,1.0
